invoice_id,date,vendor,amount,description,category,approved_by
INV-1672-02,2024-08-02,Harbor Light Consulting,9511.95,Partial payment 2/3 — project milestone,CONSULTING,J.Harrison
INV-1191,2024-05-29,Harbor Light Consulting,34607.49,Warehouse storage and fulfillment services Q4,CONSULTING,A.Reeves
INV-1485,2024-07-01,Crestview Supplies Ltd,1725.44,Annual maintenance and support contract renewal,SUPPLIES,L.Torres
INV-1250,2024-03-06,Unity Healthcare Partners,6974.05,Payroll processing services — monthly retainer,OPERATIONS,D.Okafor
INV-1671-02,2024-08-18,Apex Technology Solutions,24856.81,Partial payment 2/3 — project milestone,IT,J.Harrison
INV-1170,2024-04-06,Apex Technology Solutions,9966.87,Benefits administration platform — annual fee,IT,M.Chen
INV-1541,2024-12-07,Northpoint Marketing Agency,2681.93,Equipment lease payment — fiscal Q3,MARKETING,A.Reeves
INV-1389,2024-01-12,Silverstone IT Services,4601.71,Security camera installation — warehouse expansion,IT,A.Reeves
INV-1241,2024-04-11,Quantum Cloud Infrastructure,12023.63,Correction — prior period,IT,J.Harrison
INV-1100,2024-07-04,Blue Ridge Analytics Group,17354.27,Benefits administration platform — annual fee,CONSULTING,L.Torres
INV-1601,2024-12-07,Frontier Logistics Partners,1806.92,Services rendered,LOGISTICS,L.Torres
INV-1076,2024-07-31,Westbrook Print & Media,2288.73,Per prior agreement,MARKETING,J.Harrison
INV-1179,2024-08-27,Blue Ridge Analytics Group,53534.98,Inventory management system — annual license,CONSULTING,S.Patel
INV-1150,2024-06-28,Lakeview Office Supplies Co,3030.51,Emergency procurement,SUPPLIES,R.Novak
INV-1274,2024-06-03,Lakeview Office Supplies Co,1085.29,Network infrastructure upgrade phase 2,SUPPLIES,D.Okafor
INV-1099,2024-07-12,Horizon Training Solutions,2407.48,Software development sprint 18 — backend API,CONSULTING,S.Patel
INV-1376,2024-05-02,Unity Healthcare Partners,3560.06,Equipment lease payment — fiscal Q3,CONSULTING,R.Novak
INV-1301,2024-04-22,Meridian Legal Partners LLP,10158.42,IT helpdesk and L2 support services,LEGAL,S.Patel
INV-1419,2024-01-24,Cascade Digital Systems,3716.69,Warehouse storage and fulfillment services Q4,IT,M.Chen
INV-1708,2024-05-13,Quantum Cloud Infrastructure,9990.0,Digital marketing campaign Q2 execution,IT,L.Torres
INV-1502,2024-12-22,Crestview Supplies Ltd,436.9,Industry conference attendance — professional development,SUPPLIES,M.Chen
